Log Mode	Log Freq	Timestamp	AccX	AccY	AccZ	GyroX	GyroY	GyroZ	MagnX	MagnY	MagnZ	qw	qi	qj	qk
5	200	1650449513	710.772	325.74	611.952	-47.56098	29.39025	-9.512196	-545	-208	-542	0.8907148	0.1660207	-0.4190191	-0.05905332
5	200	1650449513	715.896	341.112	633.18	-50.60976	38.41463	-8.414635	-545	-208	-542	0.8919533	0.1639149	-0.4170659	-0.06006043
5	200	1650449513	701.988	294.996	681.492	-51.46342	41.95122	-9.512196	-544	-207	-543	0.8935294	0.1607105	-0.4149297	-0.06009095
5	200	1650449513	673.44	300.12	670.512	-56.70732	46.95122	-8.04878	-544	-207	-543	0.8963002	0.1575671	-0.4099551	-0.06128117
5	200	1650449513	691.74	292.8	679.296	-60.97561	50.36586	-7.560976	-541	-204	-543	0.897848	0.1554308	-0.4072695	-0.06198309
5	200	1650449513	699.792	271.572	660.264	-65.2439	54.63415	-8.170732	-541	-204	-543	0.9001339	0.1506699	-0.4039429	-0.06234931
5	200	1650449513	685.884	289.14	691.74	-65.48781	55.85366	-7.804878	-539	-201	-546	0.9018046	0.1476485	-0.4012574	-0.06277657
5	200	1650449513	665.388	243.024	669.048	-62.92683	58.04878	-4.268293	-539	-201	-546	0.9033833	0.1431013	-0.3993347	-0.06286813
5	200	1650449513	662.46	228.384	656.604	-60.60976	57.43903	-3.292683	-536	-199	-547	0.904792	0.1387371	-0.3977782	-0.06225776
5	200	1650449513	672.708	236.436	634.644	-57.92683	53.78049	-4.02439	-536	-199	-547	0.9057007	0.1337016	-0.397534	-0.06161686
5	200	1650449513	660.996	182.268	613.416	-53.78049	50.12195	-4.512195	-533	-195	-548	0.906615	0.128666	-0.39729	-0.06045717
5	200	1650449513	671.244	172.752	628.056	-45.2439	45.60976	-4.878049	-533	-195	-548	0.9074439	0.1218299	-0.3978088	-0.05874813
5	200	1650449513	606.096	221.796	672.708	-41.70732	37.56098	-5.487805	-531	-193	-549	0.9094787	0.1189306	-0.3939939	-0.05893124
5	200	1650449513	607.56	218.136	732	-37.68293	33.53659	-5.365854	-531	-193	-549	0.9121372	0.1168554	-0.3882564	-0.06006042
5	200	1650449513	598.776	232.776	696.864	-35	33.78049	-7.195122	-528	-191	-550	0.9140021	0.115482	-0.3841365	-0.06085391
5	200	1650449513	600.972	210.816	690.276	-32.31707	33.04878	-8.658537	-528	-191	-550	0.9169148	0.1129185	-0.3777581	-0.06176946
